# period  BIC_array
5.761318917282088892e-01 -9.849510944756275421e+00
5.762442363218289731e-01 -9.790546399672734879e+00
5.763566247379470209e-01 -9.716226694066449454e+00
5.764690570022089622e-01 -9.640547898507747959e+00
5.765815331402807109e-01 -9.578396750727506515e+00
5.766940531778482759e-01 -9.521424116079401756e+00
5.768066171406175391e-01 -9.519606386519740227e+00
5.769192250543145883e-01 -9.631922002111878101e+00
5.770318769446857177e-01 -9.695242798396975559e+00
5.771445728374972051e-01 -9.457752253218131955e+00
5.772573127585353125e-01 -9.050747735063282562e+00
5.773700967336068413e-01 -8.823874846234048164e+00
5.774829247885383543e-01 -8.829918438903860078e+00
5.775957969491768429e-01 -8.781041627216154666e+00
5.777087132413896153e-01 -8.658784219861672682e+00
5.778216736910638529e-01 -8.792121847193698159e+00
5.779346783241073870e-01 -9.129045013015911536e+00
5.780477271664478112e-01 -8.992966441243879672e+00
