date keplerian stellar stellar+keplerian GP_variance
9059.13315749 -0.32085341 -0.42192868 -0.74278209 4.58781428
9059.24603290 -3.42366666 -0.23962895 -3.66329561 4.56111849
9059.35890831 -3.02724560 -0.04286498 -3.07011058 4.53580577
9059.47178372 0.46323885 0.16587868 0.62911754 4.51204107
9059.58465914 3.48025978 0.38387293 3.86413270 4.48989923
9059.69753455 2.94020414 0.60817981 3.54838396 4.46936939
9059.81040996 -0.60495224 0.83569325 0.23074102 4.45036357
9059.92328537 -3.53180379 1.06318389 -2.46861990 4.43272867
9060.03616078 -2.84889708 1.28734753 -1.56154955 4.41626122
9060.14903619 0.74578796 1.50485630 2.25064426 4.40072391
9060.26191160 3.57822391 1.71241151 5.29063542 4.38586283
9060.37478701 2.75345688 1.90679737 4.66025425 4.37142457
9060.48766242 -0.88554172 2.08493440 1.19939269 4.35717222
9060.60053783 -3.61945280 2.24393142 -1.37552138 4.34289954
9060.71341324 -2.65402201 2.38113514 -0.27288687 4.32844275
9060.82628865 1.02401073 2.49417624 3.51818698 4.31368960
9060.93916406 3.65543063 2.58101085 6.23644148 4.29858536
9061.05203947 2.55073672 2.63995657 5.19069329 4.28313575
9061.16491488 -1.16099414 2.66972223 1.50872809 4.26740689
9061.27779029 -3.68610523 2.66943049 -1.01667474 4.25152224
9061.39066570 -2.44375086 2.63863295 0.19488209 4.23565707
9061.50354111 1.29629318 2.57731717 3.87361035 4.22003046
9061.61641652 3.71143208 2.48590544 6.19733752 4.20489545
9061.72929193 2.33321964 2.36524528 4.69846492 4.19052757
9061.84216734 -1.42971159 2.21659172 0.78688013 4.17721240
9061.95504275 -3.73137443 2.04158184 -1.68979259 4.16523251
9062.06791816 -2.21930342 1.84220193 -0.37710149 4.15485438
9062.18079357 1.56105579 1.62074808 3.18180387 4.14631590
9062.29366898 3.74590337 1.37978102 5.12568439 4.13981486
9062.40654439 2.10216747 1.12207620 3.22424368 4.13549911
9062.51941980 -1.69013523 0.85057030 -0.83956493 4.13345869
9062.63229521 -3.75499780 0.56830527 -3.18669253 4.13372040
9062.74517062 -1.98198173 0.27837128 -1.70361045 4.13624503
9062.85804603 1.81676265 -0.01615013 1.80061252 4.14092737
9062.97092144 3.75864454 -0.31224150 3.44640304 4.14759892
9063.08379685 1.85892056 -0.60700212 1.25191844 4.15603325
9063.19667226 -1.94075434 -0.89769677 -2.83845111 4.16595360
9063.30954767 -3.75683829 -1.18179956 -4.93863786 4.17704233
9063.42242308 -1.73316249 -1.45703181 -3.19019430 4.18895178
9063.53529849 2.06193041 -1.72139324 0.34053717 4.20131600
9063.64817390 3.74958168 -1.97318593 1.77639575 4.21376282
9063.76104931 1.60488998 -2.21103069 -0.60614071 4.22592568
9063.87392472 -2.18011506 -2.43387549 -4.61399056 4.23745484
9063.98680013 -3.73688523 -2.64099629 -6.37788152 4.24802749
9064.09967554 -1.47428911 -2.83199021 -4.30627932 4.25735641
9064.21255095 2.29513684 -3.00676178 -0.71162494 4.26519691
9064.32542636 3.71876737 -3.16550263 0.55326473 4.27135184
9064.43830177 1.34154937 -3.30866566 -1.96711629 4.27567454
9064.55117718 -2.40682886 -3.43693434 -5.84376320 4.27806969
9064.66405259 -3.69525437 -3.55118843 -7.24644280 4.27849207
9064.77692800 -1.20686333 -3.65246695 -4.85933028 4.27694339
9064.88980341 2.51502909 -3.74192960 -1.22690051 4.27346727
9065.00267882 3.66638035 -3.82081780 -0.15443745 4.26814266
9065.11555423 1.07042639 -3.89041616 -2.81998977 4.26107609
9065.22842965 -2.61958056 -3.95201557 -6.57159613 4.25239290
9065.34130506 -3.63218720 -4.00687867 -7.63906586 4.24222803
9065.45418047 -0.93243649 -4.05620835 -4.98864485 4.23071665
9065.56705588 2.72033158 -4.10112013 -1.38078855 4.21798508
9065.67993129 3.59272453 -4.14261846 -0.54989394 4.20414234
9065.79280670 0.79309383 -4.18157769 -3.38848386 4.18927279
9065.90568211 -2.81713598 -4.21872740 -7.03586337 4.17342999
9066.01855752 -3.54804958 -4.25464243 -7.80269201 4.15663211
9066.13143293 -0.65260056 -4.28973727 -4.94233782 4.13885903
9066.24430834 2.90985332 -4.32426458 -1.41441126 4.12005128
9066.35718375 3.49822718 -4.35831760 -0.86009042 4.10011063
9066.47005916 0.51116050 -4.39183596 -3.88067546 4.07890263
9066.58293457 -2.99834909 -4.42461441 -7.42296350 4.05626076
9066.69580998 -3.44332960 -4.45631406 -7.89964366 4.03199215
9066.80868539 -0.36897886 -4.48647566 -4.85545452 4.00588492
9066.92156080 3.08249490 -4.51453439 -1.43203949 3.97771682
